# Spell table - 2026-09-10

Source: org/dreambot/api/methods/magic/{Normal,Ancient,Lunar,Arceuus}.class in
repository2/dreambot-client.jar (sha256 66036CB5...0882A).
Dump: results/javap-c-db-spells.txt
Parser: tools/ParseSpells.py (enum static{} block parse).

Confirmed static facts:
- Per-book getParent() returns constant 218 (all four books).
- Per-book constructor maps arg1 -> child (getChild), arg2 -> level
  (getLevel); verified by full read of Normal 6-arg ctor.
- Level column matches the game-known spell levels exactly
  (Wind Strike 1 ... Ice Barrage 94, Bake Pie 65, Humidify 68 ...),
  which validates the parse alignment for every row.
- Rune costs ride decrypted name tables (Rune.build(amounts, names))
  and are NOT recorded.
- Excluded single-arg header constants (home teleports per book,
  MINIGAME_TELEPORT interface opener) - home teleports are covered
  via pinned WidgetInfo in Magic instead.

Rows: BOOK NAME child level.

Normal WIND_STRIKE 11 1
Normal CONFUSE 12 3
Normal ENCHANT_CROSSBOW_BOLT 13 4
Normal WATER_STRIKE 14 5
Normal LEVEL_1_ENCHANT 16 7
Normal EARTH_STRIKE 17 9
Normal WEAKEN 18 11
Normal FIRE_STRIKE 19 13
Normal BONES_TO_BANANAS 20 15
Normal WIND_BOLT 21 17
Normal CURSE 22 19
Normal BIND 23 20
Normal LOW_LEVEL_ALCHEMY 24 21
Normal WATER_BOLT 25 23
Normal VARROCK_TELEPORT 26 25
Normal LEVEL_2_ENCHANT 27 27
Normal EARTH_BOLT 28 29
Normal LUMBRIDGE_TELEPORT 29 31
Normal TELEKINETIC_GRAB 30 33
Normal FIRE_BOLT 31 35
Normal FALADOR_TELEPORT 32 37
Normal CRUMBLE_UNDEAD 33 39
Normal TELEPORT_TO_HOUSE 34 40
Normal WIND_BLAST 35 41
Normal SUPERHEAT_ITEM 36 43
Normal CAMELOT_TELEPORT 37 45
Normal WATER_BLAST 38 47
Normal KOUREND_CASTLE_TELEPORT 39 48
Normal LEVEL_3_ENCHANT 40 49
Normal IBAN_BLAST 41 50
Normal SNARE 42 50
Normal MAGIC_DART 43 50
Normal ARDOUGNE_TELEPORT 44 51
Normal EARTH_BLAST 45 53
Normal CIVITAS_ILLA_FORTIS_TELEPORT 46 54
Normal HIGH_LEVEL_ALCHEMY 47 55
Normal CHARGE_WATER_ORB 48 56
Normal LEVEL_4_ENCHANT 49 57
Normal WATCHTOWER_TELEPORT 50 58
Normal FIRE_BLAST 51 59
Normal CHARGE_EARTH_ORB 52 60
Normal BONES_TO_PEACHES 53 60
Normal SARADOMIN_STRIKE 54 60
Normal CLAWS_OF_GUTHIX 55 60
Normal FLAMES_OF_ZAMORAK 56 60
Normal TROLLHEIM_TELEPORT 57 61
Normal WIND_WAVE 58 62
Normal CHARGE_FIRE_ORB 59 63
Normal APE_ATOLL_TELEPORT 60 64
Normal WATER_WAVE 61 65
Normal CHARGE_AIR_ORB 62 66
Normal VULNERABILITY 63 66
Normal LEVEL_5_ENCHANT 64 68
Normal EARTH_WAVE 65 70
Normal ENFEEBLE 66 73
Normal TELEOTHER_LUMBRIDGE 67 74
Normal FIRE_WAVE 68 75
Normal ENTANGLE 69 79
Normal STUN 70 80
Normal CHARGE 71 80
Normal WIND_SURGE 72 81
Normal TELEOTHER_FALADOR 73 82
Normal WATER_SURGE 74 85
Normal TELE_BLOCK 75 85
Normal TELEPORT_TO_TARGET 76 85
Normal LEVEL_6_ENCHANT 77 87
Normal TELEOTHER_CAMELOT 78 90
Normal EARTH_SURGE 79 90
Normal LEVEL_7_ENCHANT 80 93
Normal FIRE_SURGE 81 95
Ancient ICE_RUSH 84 58
Ancient ICE_BLITZ 85 82
Ancient ICE_BURST 86 70
Ancient ICE_BARRAGE 87 94
Ancient BLOOD_RUSH 88 56
Ancient BLOOD_BLITZ 89 80
Ancient BLOOD_BURST 90 68
Ancient BLOOD_BARRAGE 91 92
Ancient SMOKE_RUSH 92 50
Ancient SMOKE_BLITZ 93 74
Ancient SMOKE_BURST 94 62
Ancient SMOKE_BARRAGE 95 86
Ancient SHADOW_RUSH 96 52
Ancient SHADOW_BLITZ 97 76
Ancient SHADOW_BURST 98 64
Ancient SHADOW_BARRAGE 99 88
Ancient PADDEWWA_TELEPORT 100 54
Ancient SENNTISTEN_TELEPORT 101 60
Ancient KHARYRLL_TELEPORT 102 66
Ancient LASSAR_TELEPORT 103 72
Ancient DAREEYAK_TELEPORT 104 78
Ancient CARRALLANGER_TELEPORT 105 84
Ancient ANNAKARL_TELEPORT 106 90
Ancient GHORROCK_TELEPORT 107 96
Lunar BAKE_PIE 110 65
Lunar CURE_PLANT 111 66
Lunar MONSTER_EXAMINE 112 66
Lunar NPC_CONTACT 113 67
Lunar CURE_OTHER 114 68
Lunar HUMIDIFY 115 68
Lunar MOONCLAN_TELEPORT 116 69
Lunar TELE_GROUP_MOONCLAN 117 70
Lunar CURE_ME 118 71
Lunar HUNTER_KIT 119 71
Lunar WATERBIRTH_TELEPORT 120 72
Lunar TELE_GROUP_WATERBIRTH 121 73
Lunar CURE_GROUP 122 74
Lunar STAT_SPY 123 75
Lunar BARBARIAN_TELEPORT 124 75
Lunar TELE_GROUP_BARBARIAN 125 76
Lunar SUPERGLASS_MAKE 126 77
Lunar TAN_LEATHER 127 78
Lunar KHAZARD_TELEPORT 128 78
Lunar TELE_GROUP_KHAZARD 129 79
Lunar DREAM 130 79
Lunar STRING_JEWELLERY 131 80
Lunar STAT_RESTORE_POTION_SHARE 132 81
Lunar MAGIC_IMBUE 133 82
Lunar FERTILE_SOIL 134 83
Lunar BOOST_POTION_SHARE 135 84
Lunar FISHING_GUILD_TELEPORT 136 85
Lunar TELE_GROUP_FISHING_GUILD 137 86
Lunar PLANK_MAKE 138 86
Lunar CATHERBY_TELEPORT 139 87
Lunar TELE_GROUP_CATHERBY 140 88
Lunar RECHARGE_DRAGONSTONE 141 89
Lunar ICE_PLATEAU_TELEPORT 142 89
Lunar TELE_GROUP_ICE_PLATEAU 143 90
