isGeneralOpen <- [465, 5] (javap line 243)
isSearchOpen <- [162, 44] (javap line 372)
2W <- [465, 2] (javap line 508)
getSearchedItem <- [162, 44] (javap line 918)
6 <- [162, 52] (javap line 1320)
itemVisible <- [162, 52] (javap line 1362)
scrollToItem <- [162, 52] (javap line 1404)
getItemChildInSearch <- [162, 52] (javap line 1516)
getOfferFirstItemWidget <- [465, 24] (javap line 1906)
getOfferSecondItemWidget <- [465, 24] (javap line 1925)
getEnterQuantityButton <- [465, 26] (javap line 1951)
getEnterAllButton <- [465, 26] (javap line 1984)
getEnterPriceButton <- [465, 26] (javap line 2085)
getGuidePriceButton <- [465, 26] (javap line 2118)
getDecreasePriceFivePercentButton <- [465, 26] (javap line 2151)
getIncreasePriceFivePercentButton <- [465, 26] (javap line 2184)
getDecreasePriceXPercentButton <- [465, 26] (javap line 2217)
getIncreasePriceXPercentButton <- [465, 26] (javap line 2250)
confirm <- [465, 30] (javap line 2798)
confirm <- [465, 1] (javap line 2873)
confirm <- [465, 1] (javap line 2887)
2M <- [289, 4] (javap line 2947)
2 <- [465, 4] (javap line 3047)
2O <- [465, 4] (javap line 3208)
3 <- [465, 6] (javap line 3444)
getFirstTitle <- [335, 31] (javap line 6719)
8h <- [334, 30] (javap line 6819)
canAccept <- [335, 12] (javap line 6893)
6 <- [335, 10] (javap line 6985)
8 <- [335, 25] (javap line 8597)
1 <- [335, 25] (javap line 8663)
isOpen <- [192, 24] (javap line 10967)
close <- [192, 1] (javap line 11098)
slotBounds <- [192, 24] (javap line 11565)
getSlotWidget <- [192, 24] (javap line 11599)
